"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17590","Odisha","Street lights","WS/MP18149/2025-2026/184409","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17591","Odisha","Street lights","WS/MP18149/2025-2026/184403","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17592","Odisha","Street lights","WS/MP18149/2025-2026/184398","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17593","Odisha","Street lights","WS/MP18149/2025-2026/184414","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17594","Odisha","Street lights","WS/MP18149/2025-2026/184431","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17595","Odisha","Street lights","WS/MP18149/2025-2026/184412","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17596","Odisha","Street lights","WS/MP18149/2025-2026/184422","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17597","Odisha","Street lights","WS/MP18149/2025-2026/184421","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","31-Dec-2025","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17598","Odisha","Street lights","WS/MP18149/2025-2026/184434","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17599","Odisha","Street lights","WS/MP18149/2025-2026/184399","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
"17600","Odisha","Street lights","WS/MP18149/2025-2026/184435","PURI(DISTRICT COLLECTOR PURI_IDA)","SAMBIT PATRA (2024-2029)","Elected MP","02-Jan-2026","JOGENDRA KUMAR BARIK","Payment Success","40000"
